species,leaf.sp,temperature,shredding.days,fpom,amp.weight,dead.day
DV,Alder,20,14,33.715,85.3,15
DV,Alder,8,14,23.715,88.1,15
DV,Alder,20,14,29.715,64.8,15
DV,Sycamore,8,14,11.715,109.9,15
DV,Oak,20,6,-0.285,116.1,7
DV,Alder,8,14,7.715,91.5,15
DV,Alder,20,14,20.715,145.3,15
DV,Sycamore,20,14,12.715,106.2,15
DV,Sycamore,20,14,20.715,101.9,15
DV,Sycamore,20,14,17.715,103.4,15
DV,Sycamore,20,14,10.715,109.8,15
DV,Sycamore,20,14,17.715,109.1,15
DV,Sycamore,20,14,17.715,89.6,15
DV,Sycamore,20,1,0.715,83.2,2
DV,Oak,20,14,4.715,133.9,15
DV,Oak,20,1,1.715,159.9,2
DV,Alder,8,14,6.715,127.5,15
DV,Oak,20,5,1.715,81.6,6
DV,Alder,8,14,10.715,94.9,15
DV,Oak,8,14,6.715,120.4,15
DV,Oak,20,9,1.715,96.7,10
DV,Sycamore,8,14,6.715,79.3,15
DV,Oak,20,14,3.715,98,15
DV,Alder,8,14,2.715,71,15
DV,Oak,20,14,8.715,135.6,15
DV,Alder,8,14,10.715,117.8,15
DV,Sycamore,20,14,14.715,88.1,15
DV,Alder,8,14,-1.285,90.9,15
DV,Sycamore,20,2,2.715,89.9,3
DV,Alder,8,14,1.715,75.9,15
DV,Sycamore,20,14,15.715,75.9,15
DV,Alder,8,14,16.715,110.2,15
DV,Alder,20,14,38.715,95.4,15
DV,Oak,8,14,1.715,149.6,15
DV,Sycamore,20,14,19.715,106.8,15
DV,Oak,8,14,2.715,78.3,15
DV,Oak,8,14,1.715,97.6,15
DV,Sycamore,20,14,13.715,44.5,15
DV,Alder,20,9,5.715,73,10
DV,Oak,8,14,3.715,94.6,15
DV,Sycamore,8,14,3.715,122.7,15
DV,Oak,20,14,3.715,81.2,15
DV,Alder,8,14,3.715,80.9,15
DV,Alder,20,0,0.715,57.6,1
DV,Alder,20,0,2.715,74.4,1
DV,Sycamore,8,14,9.715,121.9,15
DV,Alder,20,2,1.715,59.6,3
DV,Sycamore,8,14,8.715,93,15
DV,Alder,20,0,-0.285,65.2,1
DV,Alder,20,14,8.715,77.7,15
DV,Sycamore,8,14,0.715,75.6,15
DV,Alder,20,14,33.715,135.5,15
DV,Alder,20,14,42.715,65.3,15
DV,Oak,8,14,2.715,78.4,15
DV,Alder,20,14,41.715,117,15
DV,Oak,8,14,3.715,64.3,15
DV,Oak,8,14,2.715,40.9,15
DV,Sycamore,20,14,15.715,79.7,15
DV,Oak,20,3,0.715,71.2,4
DV,Oak,8,14,-0.285,130.5,15
DV,Oak,20,1,-4.285,91.9,2
DV,Sycamore,8,3,4.715,62.6,4
DV,Sycamore,20,2,2.715,110.6,3
DV,Oak,8,14,2.715,118.2,15
DV,Sycamore,20,3,3.715,77.3,4
DV,Sycamore,8,14,5.715,89.9,15
DV,Sycamore,8,14,-1.285,106.7,15
DV,Oak,20,14,7.715,104.9,15
DV,Sycamore,8,1,-1.285,161.8,2
DV,Sycamore,20,14,16.715,52.5,15
DV,Sycamore,8,12,3.715,133.1,13
DV,Sycamore,8,14,-1.285,127.9,15
DV,Oak,20,14,4.715,98.3,15
DV,Sycamore,8,14,3.715,90.2,15
DV,Sycamore,8,14,11.715,86.5,15
DV,Sycamore,8,14,6.715,64.8,15
DV,Oak,20,13,1.715,92.7,14
DV,Sycamore,8,14,7.715,48.6,15
DV,Oak,20,2,-2.285,77.7,3
DV,Sycamore,8,14,12.715,47.3,15
DV,Oak,20,14,4.715,89.3,15
GP,Alder,20,14,12.715,72.7,15
GP,Alder,8,14,23.715,42.8,15
GP,Alder,20,14,23.715,50.4,15
GP,Alder,8,14,28.715,58.8,15
GP,Alder,8,14,20.715,59,15
GP,Alder,8,14,21.715,39.3,15
GP,Alder,8,14,21.715,44.3,15
GP,Sycamore,20,14,13.715,47.7,15
GP,Oak,8,14,3.715,27.8,15
GP,Oak,8,14,4.715,53.4,15
GP,Oak,8,14,3.715,56.7,15
GP,Oak,20,14,3.715,37.7,15
GP,Oak,8,14,3.715,49,15
GP,Alder,20,14,28.715,48.7,15
GP,Alder,20,14,26.715,63.8,15
GP,Oak,8,14,5.715,59.9,15
GP,Alder,8,14,30.715,44.7,15
GP,Sycamore,20,14,7.715,47.4,15
GP,Sycamore,20,14,6.715,48.3,15
GP,Alder,8,5,2.715,43,6
GP,Oak,20,14,6.715,43.9,15
GP,Oak,8,14,4.715,50.9,15
GP,Oak,20,14,2.715,54.5,15
GP,Oak,8,14,2.715,74.1,15
GP,Oak,20,14,8.715,56,15
GP,Oak,20,2,-0.285,35.2,3
GP,Oak,8,14,4.715,32.4,15
GP,Oak,20,14,3.715,47.3,15
GP,Oak,8,14,4.715,35.6,15
GP,Oak,8,14,4.715,43.5,15
GP,Sycamore,20,14,13.715,71.2,15
GP,Sycamore,20,14,13.715,55,15
GP,Alder,20,14,23.715,31.5,15
GP,Oak,20,5,1.715,38.1,6
GP,Sycamore,20,3,1.715,43.6,4
GP,Sycamore,20,1,0.715,42.2,2
GP,Sycamore,20,14,7.715,37.7,15
GP,Oak,20,12,0.715,45,13
GP,Sycamore,20,14,21.715,33.5,15
GP,Sycamore,8,14,3.715,58.3,15
GP,Alder,20,14,27.715,42.5,15
GP,Alder,20,14,28.715,44.9,15
GP,Sycamore,8,14,4.715,41.5,15
GP,Alder,20,14,27.715,65.7,15
GP,Oak,8,14,-0.285,46,15
GP,Alder,20,0,4.715,52.6,1
GP,Oak,8,14,0.715,63.8,15
GP,Alder,20,14,20.715,45.8,15
GP,Alder,20,5,3.715,42.5,6
GP,Sycamore,8,14,2.715,36.4,15
GP,Sycamore,8,14,4.715,37.7,15
GP,Oak,20,1,4.715,66.1,2
GP,Oak,20,4,4.715,44.7,5
GP,Sycamore,8,14,0.715,52.5,15
GP,Oak,8,14,2.715,31.5,15
GP,Oak,20,0,3.715,68.2,1
GP,Sycamore,8,14,8.715,51,15
GP,Oak,20,1,2.715,36.7,2
GP,Sycamore,8,14,6.715,38.6,15
GP,Oak,8,14,5.715,47.9,15
GP,Sycamore,8,14,5.715,45.7,15
GP,Oak,20,0,-1.285,58.5,1
GP,Sycamore,8,14,4.715,68.3,15
GP,Sycamore,8,14,5.715,60.7,15
GP,Oak,20,14,7.715,50.6,15
GP,Alder,20,14,28.715,70.4,15
GP,Oak,20,14,5.715,66.4,15
GP,Oak,8,2,0.715,74.7,3
GP,Sycamore,20,14,15.715,77,15
GP,Alder,8,14,11.715,45.7,15
GP,Sycamore,20,14,9.715,25,15
GP,Alder,8,14,8.715,43.9,15
GP,Alder,8,14,15.715,37.6,15
GP,Sycamore,20,14,9.715,34.5,15
GP,Alder,8,14,17.715,36.2,15
GP,Sycamore,20,0,0.715,30.1,1
GP,Alder,20,0,2.715,64.7,1
GP,Alder,20,0,0.715,44.6,1
GP,Alder,8,14,7.715,40.1,15
GP,Alder,20,0,5.715,44.1,1
GP,Alder,8,14,8.715,27.4,15
GP,Alder,20,0,-0.285,41.1,1
GP,Alder,8,14,4.715,39.9,15
GP,Alder,20,14,26.715,44.5,15
GP,Alder,20,14,26.715,76.4,15
GP,Alder,8,14,15.715,57.3,15
GP,Sycamore,20,14,14.715,63.3,15
GP,Oak,8,14,2.715,46.7,15
GP,Oak,8,14,2.715,47.7,15
GP,Oak,20,0,0.715,58,1
GP,Oak,20,0,2.715,34.2,1
GP,Oak,8,14,4.715,55.6,15
GP,Oak,8,2,2.715,55.9,3
GP,Oak,20,7,1.715,49.8,8
GP,Oak,8,14,5.715,83.3,15
GP,Sycamore,8,14,11.715,51,15
GP,Sycamore,8,14,10.715,56.8,15
GP,Sycamore,8,14,17.715,58.5,15
GP,Alder,20,14,26.715,35.8,15
GP,Sycamore,8,14,14.715,59.5,15
GP,Alder,20,14,34.715,49.7,15
GP,Sycamore,20,5,23.715,NA,6
GP,Sycamore,20,14,13.715,NA,15
GP,Sycamore,20,14,10.715,NA,15
GP,Sycamore,20,14,4.715,NA,15
DH,Sycamore,20,2,-2.285,27.1,3
DV,Alder,8,2,-1.285,43.1,3
DV,Alder,8,5,-2.285,99.1,6
GP,Alder,8,14,21.715,67.4,15
GP,Sycamore,20,14,12.715,NA,15
C,Alder,8,14,-3.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-4.285,NA,15
C,Alder,8,14,2.715,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-3.285,NA,15
C,Alder,20,14,2.715,NA,15
C,Alder,20,14,2.715,NA,15
C,Alder,20,14,-3.285,NA,15
C,Alder,20,14,-0.285,NA,15
C,Alder,20,14,-1.285,NA,15
C,Alder,20,14,-0.285,NA,15
C,Alder,20,14,-0.285,NA,15
C,Alder,20,14,1.715,NA,15
C,Alder,20,14,1.715,NA,15
C,Alder,20,14,0.715,NA,15
C,Sycamore,8,14,-0.285,NA,15
C,Sycamore,8,14,-0.285,NA,15
C,Sycamore,8,14,-3.285,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-0.285,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,2.715,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,20,14,-0.285,NA,15
C,Sycamore,20,14,-2.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Sycamore,20,14,1.715,NA,15
C,Sycamore,20,14,-1.285,NA,15
C,Sycamore,20,14,-1.285,NA,15
C,Sycamore,20,14,-0.285,NA,15
C,Sycamore,20,14,-0.285,NA,15
C,Sycamore,20,14,-1.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Oak,8,14,-3.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-1.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,3.715,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-0.285,NA,15
C,Oak,20,14,0.715,NA,15
C,Oak,20,14,2.715,NA,15
C,Oak,20,14,-0.285,NA,15
C,Oak,20,14,-3.285,NA,15
C,Oak,20,14,1.715,NA,15
C,Oak,20,14,-3.285,NA,15
C,Alder,20,14,-2.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-3.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-0.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-3.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,20,14,-4.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,-2.285,NA,15
C,Alder,8,14,0.715,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-5.285,NA,15
C,Alder,8,14,1.715,NA,15
C,Alder,8,14,-4.285,NA,15
C,Alder,8,14,-3.285,NA,15
C,Alder,8,14,-1.285,NA,15
C,Alder,8,14,-5.285,NA,15
C,Alder,20,14,-6.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-6.285,NA,15
C,Oak,8,14,-3.285,NA,15
C,Oak,8,14,-0.285,NA,15
C,Oak,8,14,-0.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-4.285,NA,15
C,Oak,8,14,-2.285,NA,15
C,Oak,8,14,-5.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-3.285,NA,15
C,Oak,20,14,-1.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Oak,20,14,-4.285,NA,15
C,Oak,20,14,-2.285,NA,15
C,Sycamore,20,14,-2.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Sycamore,20,14,-8.285,NA,15
C,Sycamore,20,14,-5.285,NA,15
C,Sycamore,20,14,-3.285,NA,15
C,Sycamore,20,14,-8.285,NA,15
C,Sycamore,20,14,-7.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-3.285,NA,15
C,Sycamore,20,14,-2.285,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,-2.285,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,0.715,NA,15
C,Sycamore,8,14,-1.285,NA,15
C,Sycamore,8,14,-3.285,NA,15
C,Sycamore,20,14,-5.285,NA,15
C,Sycamore,20,14,-4.285,NA,15
C,Sycamore,14,14,2.7,NA,15
C,Alder,14,14,10.9,NA,15
C,Alder,14,14,1.4,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Sycamore,14,14,1.6,NA,15
C,Alder,14,14,1.5,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,0.8,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,0.9,NA,15
C,Sycamore,14,14,1.9,NA,15
C,Sycamore,14,14,1.3,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Alder,14,14,1.2,NA,15
C,Sycamore,14,14,1,NA,15
C,Sycamore,14,14,1.9,NA,15
C,Alder,14,14,1.4,NA,15
C,Alder,14,14,1.4,NA,15
C,Oak,14,14,0.6,NA,15
C,Oak,14,14,1.5,NA,15
C,Oak,14,14,2.3,NA,15
C,Sycamore,14,14,1.7,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Oak,14,14,1.4,NA,15
C,Oak,14,14,0.3,NA,15
C,Oak,14,14,1.1,NA,15
C,Oak,14,14,2.5,NA,15
C,Oak,14,14,0.9,NA,15
C,Oak,14,14,1,NA,15
C,Oak,14,14,0.7,NA,15
DH,Alder,14,14,18.9,42.1,15
DH,Sycamore,14,14,8.5,34.9,15
DH,Oak,14,14,2.4,51.8,15
DH,Alder,14,14,13.4,31.7,15
DH,Oak,14,14,0.5,71.1,15
DH,Sycamore,14,14,8.1,99.6,15
DH,Oak,14,14,2.4,29,15
DH,Oak,14,14,4.8,39.9,15
DH,Oak,14,14,2,18.1,15
DH,Alder,14,14,10.3,21.5,15
DH,Oak,14,14,2.2,22.3,15
DH,Alder,14,14,11.1,22.7,15
DH,Alder,14,14,20.4,57.7,15
DH,Sycamore,14,14,8.8,35.6,15
DH,Alder,14,14,10.3,25.7,15
DH,Oak,14,14,3.5,25,15
DV,Sycamore,14,14,15.7,71,15
DV,Sycamore,14,14,10.6,53.7,15
DV,Alder,14,14,29.6,43,15
DV,Sycamore,14,14,9.8,33.2,15
DV,Oak,14,14,5.4,50.4,15
DV,Alder,14,14,26.5,60.8,15
DV,Alder,14,14,29.6,47.8,15
DV,Oak,14,14,3.9,33.5,15
DV,Alder,14,14,31,52.7,15
DV,Alder,14,14,27.9,96.5,15
DV,Oak,14,14,4.5,30.9,15
DV,Alder,14,14,21,23.5,15
DV,Oak,14,14,4.6,29.6,15
DV,Oak,14,14,6.2,32.6,15
DV,Oak,14,14,6.2,32.6,15
DV,Sycamore,14,14,5.2,33.7,15
DV,Sycamore,14,14,8,47.9,15
DV,Alder,14,14,19.4,28,15
DV,Sycamore,14,14,6.9,27.7,15
DV,Sycamore,14,14,7.7,63.2,15
DV,Oak,14,14,5.8,63.3,15
DV,Oak,14,14,4,31.6,15
DV,Oak,14,14,5.1,21.5,15
DV,Alder,14,14,30.6,60.7,15
DV,Sycamore,14,14,15,41.4,15
DV,Sycamore,14,14,5.5,23.1,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,6,20.6,15
GP,Oak,14,14,7.6,34.2,15
GP,Oak,14,14,6.9,28.8,15
GP,Sycamore,14,14,13.5,31.6,15
GP,Oak,14,14,6.3,24.5,15
GP,Oak,14,14,7.4,29.7,15
GP,Oak,14,14,6.8,37.8,15
GP,Alder,14,14,6.8,30,15
GP,Sycamore,14,14,21.6,38.5,15
GP,Oak,14,14,6.4,28,15
GP,Sycamore,14,14,8.5,28,15
GP,Sycamore,14,14,17.7,30.3,15
GP,Alder,14,14,8.9,27.7,15
GP,Sycamore,14,14,7.5,47.2,15
GP,Alder,14,14,20,38.9,15
GP,Alder,14,14,18.9,37.3,15
GP,Sycamore,14,14,9.2,27.4,15
GP,Alder,14,14,12.3,23.1,15
GP,Alder,14,14,17.9,47,15
GP,Alder,14,14,12.5,31.4,15
GP,Sycamore,14,14,9.9,44.2,15
GP,Sycamore,14,14,11.4,28.9,15
GP,Oak,14,14,8.9,38.5,15
GP,Oak,14,14,6.6,39.2,15
GP,Alder,14,14,19.8,45,15
GP,Sycamore,14,14,4.5,36,15
GP,Alder,14,14,9.8,48.4,15
GP,Alder,14,14,17.3,31.4,15
C,Oak,14,14,0.7,NA,15
C,Oak,14,14,-0.1,NA,15
C,Oak,14,14,2.4,NA,15
C,Oak,14,14,1.7,NA,15
C,Oak,14,14,0.8,NA,15
C,Oak,14,14,1.6,NA,15
C,Oak,14,14,0.9,NA,15
C,Oak,14,14,1.7,NA,15
C,Oak,14,14,1.8,NA,15
C,Oak,14,14,2.4,NA,15
C,Oak,14,14,1.5,NA,15
C,Oak,14,14,1.4,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,1,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Sycamore,14,14,-7.6,NA,15
C,Sycamore,14,14,2.2,NA,15
C,Sycamore,14,14,2.2,NA,15
C,Sycamore,14,14,3.2,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Oak,14,14,1.3,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Sycamore,14,14,1.8,NA,15
C,Sycamore,14,14,2.1,NA,15
C,Sycamore,14,14,1.4,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Sycamore,14,14,1.5,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Sycamore,14,14,1.2,NA,15
C,Sycamore,14,14,2.3,NA,15
C,Oak,14,14,2.1,NA,15
C,Sycamore,14,14,2.4,NA,15
C,Alder,14,14,1.8,NA,15
C,Alder,14,14,2.1,NA,15
C,Alder,14,14,1.5,NA,15
C,Alder,14,14,4.2,NA,15
C,Alder,14,14,2.4,NA,15
C,Alder,14,14,2.2,NA,15
C,Alder,14,14,3.3,NA,15
C,Alder,14,14,1.7,NA,15
C,Alder,14,14,2.4,NA,15
C,Oak,14,14,2.7,NA,15
C,Alder,14,14,2.4,NA,15
C,Alder,14,14,2.1,NA,15
C,Alder,14,14,1.8,NA,15
C,Alder,14,14,2.3,NA,15
C,Alder,14,14,1.6,NA,15
C,Alder,14,14,1.1,NA,15
C,Alder,14,14,3.7,NA,15
C,Alder,14,14,1.3,NA,15
C,Alder,14,14,2,NA,15
C,Oak,14,14,0.9,NA,15
C,Alder,14,14,0.9,NA,15
C,Oak,14,14,1.2,NA,15
C,Oak,14,14,1.3,NA,15
C,Oak,14,14,1,NA,15
DH,Sycamore,14,14,13.5,44.1,15
DH,Sycamore,14,14,10.6,38.5,15
DH,Sycamore,14,14,10.8,32.4,15
DH,Sycamore,14,2,1.1,44.3,3
DH,Sycamore,14,14,10.8,42,15
DH,Sycamore,14,10,11.7,38,11
DH,Sycamore,14,14,10.2,57,15
DH,Sycamore,14,14,3.1,48,15
DH,Sycamore,14,14,10.8,37.4,15
DH,Sycamore,14,14,13.6,62.3,15
